"method","K","signal_prop","rho_est","power","fdp","rep"
"DPM",6,0.05,NA,0.882956878850103,0,2
"ORBIT_P",6,0.05,0.00680239175557584,0.921971252566735,0.0385438972162741,2
"DPM",7,0.05,NA,0.930184804928131,0,2
"ORBIT_P",7,0.05,0.00460687922873627,0.975359342915811,0.0612648221343874,2
"DPM",8,0.05,NA,0.924024640657084,0,2
"ORBIT_P",8,0.05,0.000771748448817872,0.969199178644764,0.0464646464646465,2
"DPM",9,0.05,NA,0.952772073921971,0,2
"ORBIT_P",9,0.05,0.00186801276872736,0.979466119096509,0.0363636363636364,2
"DPM",10,0.05,NA,0.944558521560575,0,2
"ORBIT_P",10,0.05,0.00232116384234131,0.969199178644764,0.0464646464646465,2
"DPM",11,0.05,NA,0.958932238193018,0,2
"ORBIT_P",11,0.05,0.00126958139898054,0.985626283367556,0.0457256461232604,2
"DPM",12,0.05,NA,0.95482546201232,0,2
"ORBIT_P",12,0.05,0.000837560362835822,0.971252566735113,0.0366598778004073,2
"DPM",13,0.05,NA,0.948665297741273,0,2
"ORBIT_P",13,0.05,0.00105890532189579,0.983572895277207,0.0362173038229376,2
"DPM",14,0.05,NA,0.969199178644764,0,2
"ORBIT_P",14,0.05,0.00126953726412592,0.987679671457906,0.0418326693227092,2
"DPM",15,0.05,NA,0.950718685831622,0,2
"ORBIT_P",15,0.05,0.00118168055395911,0.987679671457906,0.0399201596806387,2
"DPM",16,0.05,NA,0.958932238193018,0,2
"ORBIT_P",16,0.05,0.000963697106982751,0.987679671457906,0.0531496062992126,2
"DPM",17,0.05,NA,0.944558521560575,0,2
"ORBIT_P",17,0.05,0.000953961428835479,0.983572895277207,0.0607843137254902,2
"DPM",18,0.05,NA,0.942505133470226,0,2
"ORBIT_P",18,0.05,0.000539162805936085,0.981519507186858,0.0609037328094303,2
"DPM",19,0.05,NA,0.956878850102669,0,2
"ORBIT_P",19,0.05,0.000838138017080996,0.979466119096509,0.049800796812749,2
"DPM",20,0.05,NA,0.958932238193018,0,2
"ORBIT_P",20,0.05,0.000945997816691312,0.987679671457906,0.0475247524752475,2
"DPM",2,0.1,NA,0.799599198396794,0.0256410256410256,2
"ORBIT_P",2,0.1,-0.00369580442333876,0.844689378757515,0.0420454545454545,2
